abstract_text,authors,authors_orgn,download,journal,key,keywords,page,refer_key,title,url,year
"通过14口取心井普通薄片、铸体薄片的镜下观察及扫描电镜等资料的研究,认为影响下二门油田碎屑岩储层的成岩作用主要有3种:压实、胶结和溶蚀。其中,压实作用以机械压实为主,化学压实少见;胶结作用主要有碳酸盐胶结(如方解石、白云石等)、黏土矿物胶结(如高岭石、绿泥石等);溶蚀作用主要有长石颗粒和少部分岩屑溶蚀、碳酸盐胶结物溶蚀。这3种成岩作用的共同改造形成了下二门油田以粒间孔、粒内溶孔和铸模孔为主的孔隙结构特征。根据微观孔隙结构特征,结合沉积相展布特点,认为下二门油田有利储层主要分布在辫状三角洲前缘亚相带水下分流河道和前缘砂坝等砂体。这些新认识为该油田调整挖潜提供了地质指导。 ",谢俊|孟宁宁|张金亮|姜建伟|曾俊,山东省沉积成矿作用与沉积矿产重点实验室|山东科技大学地质学院|北京师范大学资源学院|中国石化河南油田分公司勘探开发研究院,312,中国海洋大学学报(自然科学版),c91f0fac-8411-11e8-ba7c-408d5c0cc128,下二门油田|成岩作用|孔隙结构|储层特征,5,,下二门油田储层成岩作用类型及微观孔隙结构特征,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:QDHY.0.2012-Z1-018,2012
"华池油田华152区长3油层组储层以粉细粒长石砂岩、岩屑长石砂岩为主,发育多种孔隙类型,主要有粒间溶孔、粒内溶孔、剩余粒间孔、晶间微孔隙和构造缝,其中粒间溶孔是长3油层组储层的主要孔隙类型。主要成岩矿物为伊利石、绿泥石、伊/蒙混层、高岭石、方解石、白云石、石英等。根据成岩作用的矿物岩石学标志,将研究区成岩阶段界定为中成岩A期。压实和胶结作用破坏了砂岩的原生孔隙结构,而溶蚀作用形成次生孔隙,有效地改善了砂岩的孔隙结构。 ",李群|郭建华|郭宇航,中南大学地学与环境工程学院|中南大学地学与环境工程学院 湖南长沙410083,156,沉积与特提斯地质,ccf3d61a-8411-11e8-bbee-408d5c0cc128,孔隙结构|成岩作用|成岩模式|储层性质|华池油田,6,c91f0fac-8411-11e8-ba7c-408d5c0cc128,华池油田华152区长3油层组砂岩的成岩作用与孔隙演化,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:QDHY.0.2012-Z1-018,2008
"根据砂岩薄片、铸体薄片、扫描电镜、X-衍射分析,研究了鄂尔多斯盆地西峰油田镇北地区长3储层的成岩作用特征,认为该区长3储层处于晚成岩A期阶段,压实作用和胶结作用强烈地破坏了砂岩的原生孔隙结构,溶蚀作用和破裂作用则有效地改善了砂岩的孔隙结构。该区长3储层发育溶蚀作用相、压实作用相、胶结作用相和自生绿泥石胶结残余孔隙相,储层成岩相发育状况决定了孔隙结构的发育特征。发育次生孔隙相和残余孔隙相的砂岩具有较好的孔隙结构,孔渗较高;压实作用相和胶结作用相发育的砂岩具有很差的孔隙结构,孔渗很低。 ",刘林玉|王震亮|张龙,西北大学大陆动力学重点实验室西北大学地质系|西北大学大陆动力学重点实验室西北大学地质系 西安710069,818,沉积学报,cf350dac-8411-11e8-90dc-408d5c0cc128,成岩作用|成岩相|孔隙结构|镇北地区|鄂尔多斯盆地,8,c91f0fac-8411-11e8-ba7c-408d5c0cc128,鄂尔多斯盆地镇北地区长3砂岩的成岩作用及其对储层的影响,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:QDHY.0.2012-Z1-018,2006
"通过油田后期钻井,对下二门油田局部地质构造进行了重新认识,完善了构造的分区,发现了新 的含油区块,实现了增储增产。 ",张廷鹏|张廷飞|孙秀英|康玲珍|郑立莲|石莉莉|张君,河南油田分公司第一采油厂|河南油田分公司第一采油厂 河南 桐柏 474780,65,石油天然气学报(江汉石油学院学报),d0d631ca-8411-11e8-b9c2-408d5c0cc128,下二门油田|地质构造|含油气性|增储增产,2,c91f0fac-8411-11e8-ba7c-408d5c0cc128,下二门油田局部地质构造再认识,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:QDHY.0.2012-Z1-018,2005
二门油田经过近２０年的注水开发，目前已进入高含水后期开采，由于该油田储层矿物及胶结物组分成熟度低，不稳定矿物和易溶解胶结物含量高，因此注入水的长期冲刷对储层物性及其它渗流特征参数影响较大，主要表现在：开发后期储层类型增多；孔隙和喉道的分布及组合配置关系更加多样化；大孔（喉）道与小孔（喉）道出现的频率和变化幅度在微观上表现出极大的差异性；相对渗透率参数变化范围加大且曲线类型更加复杂；油层润湿性、驱油效率及剩余油分布特征也发生相应的变化，使得储层非均质性更为严重，开采难度加大，常规“控水稳油””措施受阻。成果采用对比井分析、室内岩心物模实验、测井解释、动态分析、电子探针、敏感性评价等技术对注水开发后期储层特征进行详细探讨，其研究思路、方法和技术可在中国东部砂砾岩油藏储层评价中推广使用。 ,赵跃华|赵新军|翁大丽|台怀忠,河南石油勘探局勘探开发研究院,360,石油学报,d2611dd0-8411-11e8-a64b-408d5c0cc128,注水开发|后期|储层|非均质性|剩余油分布,183k,c91f0fac-8411-11e8-ba7c-408d5c0cc128,注水开发后期下二门油田储层特征,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:QDHY.0.2012-Z1-018,1999
"华池油田华152区长3油层组储层以粉细粒长石砂岩、岩屑长石砂岩为主,发育多种孔隙类型,主要有粒间溶孔、粒内溶孔、剩余粒间孔、晶间微孔隙和构造缝,其中粒间溶孔是长3油层组储层的主要孔隙类型。主要成岩矿物为伊利石、绿泥石、伊/蒙混层、高岭石、方解石、白云石、石英等。根据成岩作用的矿物岩石学标志,将研究区成岩阶段界定为中成岩A期。压实和胶结作用破坏了砂岩的原生孔隙结构,而溶蚀作用形成次生孔隙,有效地改善了砂岩的孔隙结构。 ",李群|郭建华|郭宇航,中南大学地学与环境工程学院|中南大学地学与环境工程学院 湖南长沙410083,156,沉积与特提斯地质,d58cbb48-8411-11e8-8969-408d5c0cc128,孔隙结构|成岩作用|成岩模式|储层性质|华池油田,6,c91f0fac-8411-11e8-ba7c-408d5c0cc128,华池油田华152区长3油层组砂岩的成岩作用与孔隙演化,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:QDHY.0.2012-Z1-018,2008
"根据砂岩薄片、铸体薄片、扫描电镜、X-衍射分析,研究了鄂尔多斯盆地西峰油田镇北地区长3储层的成岩作用特征,认为该区长3储层处于晚成岩A期阶段,压实作用和胶结作用强烈地破坏了砂岩的原生孔隙结构,溶蚀作用和破裂作用则有效地改善了砂岩的孔隙结构。该区长3储层发育溶蚀作用相、压实作用相、胶结作用相和自生绿泥石胶结残余孔隙相,储层成岩相发育状况决定了孔隙结构的发育特征。发育次生孔隙相和残余孔隙相的砂岩具有较好的孔隙结构,孔渗较高;压实作用相和胶结作用相发育的砂岩具有很差的孔隙结构,孔渗很低。 ",刘林玉|王震亮|张龙,西北大学大陆动力学重点实验室西北大学地质系|西北大学大陆动力学重点实验室西北大学地质系 西安710069,818,沉积学报,d75813c6-8411-11e8-9525-408d5c0cc128,成岩作用|成岩相|孔隙结构|镇北地区|鄂尔多斯盆地,8,c91f0fac-8411-11e8-ba7c-408d5c0cc128,鄂尔多斯盆地镇北地区长3砂岩的成岩作用及其对储层的影响,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:QDHY.0.2012-Z1-018,2006
"通过油田后期钻井,对下二门油田局部地质构造进行了重新认识,完善了构造的分区,发现了新 的含油区块,实现了增储增产。 ",张廷鹏|张廷飞|孙秀英|康玲珍|郑立莲|石莉莉|张君,河南油田分公司第一采油厂|河南油田分公司第一采油厂 河南 桐柏 474780,65,石油天然气学报(江汉石油学院学报),d8e9b268-8411-11e8-8d26-408d5c0cc128,下二门油田|地质构造|含油气性|增储增产,2,c91f0fac-8411-11e8-ba7c-408d5c0cc128,下二门油田局部地质构造再认识,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:QDHY.0.2012-Z1-018,2005
"安塞地区长2油层储层以中细粒长石砂岩为主,主要成岩矿物为绿泥石环边、方解石胶结物、石英和长石加大生长、伊利石、伊-蒙混层、钠长石和高岭石等。绿泥石环边的发育对原生粒间孔的保存起到有利的作用。石英加大级别达 级,加大边含有丰富的有机包体,均一温度范围48.1～76.5oC,烃类进入储层的时间为早白垩世中期至晚白垩世。储层发育多种孔隙类型,面孔率平均为11.60%,主要类型有粒间孔、骨架颗粒溶孔和微裂缝等。残余粒间孔和骨架颗粒溶孔是本区长2储层的主要孔隙类型。根据成岩作用的矿物岩石学标志、有机质成熟度及古温度,将长2油层砂岩的成岩作用划分为3个成岩阶段:早成岩阶段、晚成岩阶段和表生成岩阶段。储层性质明显地受到沉积微相和成岩作用的影响,沉积物粒度较粗、厚度较大的分流河道储集物性明显优于各种粒度较细、厚度较薄的分流间席状砂体。 ",张金亮|梁杰|杜桂林,中国海洋大学海洋地球科学学院|中国海洋大学海洋地球科学学院 山东青岛　266003,442,西北地质,db1eec08-8411-11e8-9c2d-408d5c0cc128,安塞油田|绿泥石环边|有机包裹体|次生孔隙|成岩模式|储层性质,9,c91f0fac-8411-11e8-ba7c-408d5c0cc128,安塞油田长2油层成岩作用及其对储层物性的影响,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:QDHY.0.2012-Z1-018,2004
"准噶尔盆地东部下侏罗统三工河组孔隙类型 :主要有剩余原生粒间孔和次生孔隙。剩余原生粒间孔是成岩早期淀粘土及石英加大形成的 ,它们围绕碎屑边部分布。本地区 ,在剩余原生粒间孔发育的基础上、发生溶蚀作用 ,形成一些原生扩大孔 ,超大孔、粒内溶孔等。成岩早期胶结作用形成剩余原生粒间孔 ,晚期的溶蚀作用形成次生孔隙。 ",张丽霞|李民,新疆石油管理局准东勘探开发研究所!阜康市831511,223,矿物岩石,dd023128-8411-11e8-9ff4-408d5c0cc128,准噶尔盆地|成岩作用|孔隙,5,c91f0fac-8411-11e8-ba7c-408d5c0cc128,准东下侏罗统三工河组砂岩成岩作用及其对孔隙的影响,http://rss.cnki.net/rss/Getinfobydoi.aspx?doi=CNKI:SUN:QDHY.0.2012-Z1-018,2000
